invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I109457,C194341,Female,42,Clothing,2,600.16,Credit Card,13-05-2022,Metrocity
I109459,C318250,Male,38,Technology,3,3150,Credit Card,13-12-2021,Kanyon
I109461,C309383,Female,41,Clothing,2,600.16,Cash,15-02-2023,Istinye Park
I109467,C260301,Male,41,Clothing,1,300.08,Cash,03-03-2021,Metropol AVM
I109468,C161538,Male,22,Clothing,5,1500.4,Cash,06-10-2021,Metropol AVM
I109472,C277160,Male,55,Clothing,2,600.16,Cash,01-07-2022,Mall of Istanbul
I109474,C175624,Female,64,Clothing,1,300.08,Credit Card,27-09-2021,Istinye Park
I109475,C951628,Female,29,Toys,1,35.84,Debit Card,17-05-2022,Metropol AVM
I109478,C694764,Male,63,Shoes,5,3000.85,Cash,06-04-2022,Forum Istanbul
I109480,C625721,Male,33,Food & Beverage,4,20.92,Credit Card,30-05-2022,Kanyon
I109484,C972455,Male,65,Clothing,1,300.08,Credit Card,16-08-2022,Metrocity
I109498,C207505,Male,56,Souvenir,1,11.73,Debit Card,19-09-2021,Mall of Istanbul
I109499,C253612,Female,54,Books,1,15.15,Cash,28-04-2022,Mall of Istanbul
I109500,C312279,Female,30,Food & Beverage,3,15.69,Credit Card,25-02-2022,Cevahir AVM
I109502,C272430,Female,51,Cosmetics,5,203.3,Cash,23-11-2021,Viaport Outlet
I109506,C793281,Female,68,Clothing,5,1500.4,Cash,15-07-2021,Istinye Park
I109517,C145040,Male,37,Clothing,4,1200.32,Debit Card,31-10-2021,Forum Istanbul
I109518,C146087,Male,65,Clothing,5,1500.4,Credit Card,23-02-2021,Kanyon
I109520,C116420,Male,64,Cosmetics,2,81.32,Credit Card,29-08-2022,Kanyon
I109525,C722256,Male,47,Clothing,5,1500.4,Cash,14-06-2022,Mall of Istanbul
I109528,C338230,Female,57,Food & Beverage,3,15.69,Credit Card,14-01-2022,Mall of Istanbul
I109529,C238438,Female,22,Shoes,4,2400.68,Debit Card,21-09-2022,Viaport Outlet
I109532,C205028,Male,61,Clothing,1,300.08,Debit Card,08-05-2021,Mall of Istanbul
I109533,C526986,Male,39,Clothing,2,600.16,Debit Card,28-03-2022,Cevahir AVM
I109542,C903665,Male,56,Cosmetics,1,40.66,Credit Card,12-11-2021,Metrocity
I109546,C154116,Female,60,Souvenir,2,23.46,Cash,27-09-2022,Metropol AVM
I109555,C324941,Female,69,Cosmetics,4,162.64,Credit Card,03-03-2022,Metrocity
I109558,C280360,Female,54,Books,3,45.45,Credit Card,11-07-2022,Zorlu Center
I109560,C221848,Female,65,Toys,1,35.84,Credit Card,01-07-2021,Kanyon
I109571,C140611,Female,46,Clothing,2,600.16,Credit Card,28-01-2022,Mall of Istanbul
I109572,C129905,Female,21,Food & Beverage,3,15.69,Debit Card,21-02-2022,Metropol AVM
I109575,C363252,Male,54,Food & Beverage,4,20.92,Debit Card,23-05-2021,Kanyon
I109576,C286661,Male,42,Cosmetics,4,162.64,Cash,20-08-2022,Kanyon
I109577,C620094,Female,46,Clothing,4,1200.32,Debit Card,20-05-2022,Istinye Park
I109580,C327642,Male,23,Toys,3,107.52,Cash,07-05-2021,Cevahir AVM
I109582,C276803,Male,36,Clothing,2,600.16,Credit Card,25-03-2021,Istinye Park
I109586,C228080,Male,59,Toys,1,35.84,Debit Card,22-09-2021,Forum Istanbul
I109592,C369849,Male,50,Food & Beverage,2,10.46,Credit Card,16-02-2022,Metropol AVM
I109594,C215674,Female,63,Food & Beverage,2,10.46,Cash,17-05-2022,Metropol AVM
I109598,C302147,Female,64,Clothing,4,1200.32,Credit Card,14-04-2022,Mall of Istanbul
I109605,C207415,Male,43,Cosmetics,3,121.98,Debit Card,27-10-2021,Mall of Istanbul
I109617,C252719,Female,47,Cosmetics,5,203.3,Credit Card,18-05-2021,Mall of Istanbul
I109618,C241400,Male,63,Clothing,4,1200.32,Credit Card,05-05-2022,Metrocity
I109619,C257621,Male,53,Souvenir,3,35.19,Credit Card,19-09-2021,Istinye Park
I109621,C297516,Male,62,Cosmetics,2,81.32,Credit Card,08-06-2022,Kanyon
I109625,C902770,Female,50,Food & Beverage,2,10.46,Cash,08-07-2021,Metrocity
I109627,C761992,Female,27,Food & Beverage,2,10.46,Debit Card,15-07-2022,Istinye Park
I109629,C213115,Female,54,Clothing,3,900.24,Credit Card,07-12-2021,Mall of Istanbul
I109638,C420869,Male,34,Clothing,3,900.24,Cash,19-05-2021,Metrocity
I109640,C579535,Female,67,Clothing,1,300.08,Cash,10-08-2022,Viaport Outlet
I109641,C130364,Female,39,Technology,3,3150,Credit Card,09-07-2021,Zorlu Center
I109642,C212150,Male,60,Books,2,30.3,Cash,18-06-2022,Viaport Outlet
I109645,C291134,Female,34,Clothing,5,1500.4,Debit Card,22-03-2022,Kanyon
I109646,C233228,Male,30,Clothing,1,300.08,Cash,01-08-2021,Zorlu Center
I109649,C282643,Female,19,Food & Beverage,3,15.69,Debit Card,08-10-2021,Emaar Square Mall
I109650,C294238,Female,61,Cosmetics,2,81.32,Cash,11-01-2023,Kanyon
I109664,C200754,Male,47,Cosmetics,1,40.66,Cash,13-07-2021,Metropol AVM
I109672,C563092,Female,26,Clothing,1,300.08,Credit Card,18-07-2021,Cevahir AVM
I109673,C247867,Male,20,Clothing,1,300.08,Cash,04-11-2021,Istinye Park
I109674,C161650,Male,40,Technology,1,1050,Debit Card,18-01-2023,Metrocity
I109678,C328170,Male,31,Toys,3,107.52,Credit Card,26-10-2021,Mall of Istanbul
I109684,C157746,Female,64,Food & Beverage,2,10.46,Cash,30-09-2022,Cevahir AVM
I109685,C204226,Male,52,Cosmetics,3,121.98,Cash,03-09-2022,Mall of Istanbul
I109687,C105027,Male,51,Shoes,4,2400.68,Debit Card,29-03-2021,Mall of Istanbul
I109689,C116858,Female,67,Food & Beverage,1,5.23,Credit Card,27-05-2022,Kanyon
I109690,C197655,Female,43,Clothing,2,600.16,Debit Card,07-06-2021,Mall of Istanbul
I109693,C126589,Male,44,Cosmetics,5,203.3,Cash,12-02-2021,Mall of Istanbul
I109698,C277720,Female,20,Food & Beverage,1,5.23,Cash,09-04-2022,Cevahir AVM
I109700,C211682,Male,31,Technology,1,1050,Cash,27-07-2021,Metrocity
I109715,C488310,Male,45,Toys,3,107.52,Debit Card,05-08-2022,Istinye Park
I109719,C894771,Female,66,Food & Beverage,2,10.46,Debit Card,20-12-2021,Mall of Istanbul
I109721,C747237,Male,62,Toys,2,71.68,Credit Card,11-01-2021,Zorlu Center
I109723,C114246,Female,37,Food & Beverage,5,26.15,Cash,04-03-2023,Kanyon
I109725,C283460,Male,43,Clothing,2,600.16,Cash,31-10-2022,Kanyon
I109728,C284923,Female,21,Shoes,1,600.17,Debit Card,26-06-2022,Emaar Square Mall
I109730,C104778,Male,40,Clothing,3,900.24,Credit Card,02-07-2022,Metropol AVM
I109733,C372399,Male,63,Food & Beverage,1,5.23,Debit Card,01-08-2021,Mall of Istanbul
I109735,C183371,Female,48,Cosmetics,2,81.32,Cash,04-07-2021,Kanyon
I109742,C800434,Male,64,Cosmetics,5,203.3,Cash,09-06-2021,Metrocity
I109743,C334867,Female,55,Cosmetics,2,81.32,Cash,28-08-2021,Istinye Park
I109746,C149443,Female,43,Technology,4,4200,Credit Card,27-10-2022,Mall of Istanbul
I109765,C682011,Male,62,Shoes,3,1800.51,Cash,09-12-2022,Kanyon
I109766,C106066,Female,57,Food & Beverage,5,26.15,Cash,06-11-2022,Metrocity
I109770,C139167,Male,55,Clothing,3,900.24,Credit Card,10-02-2022,Metropol AVM
I109772,C105393,Male,51,Food & Beverage,4,20.92,Debit Card,14-06-2022,Kanyon
I109774,C317267,Female,26,Cosmetics,1,40.66,Cash,13-01-2021,Cevahir AVM
I109776,C276615,Female,36,Books,5,75.75,Debit Card,23-05-2021,Kanyon
I109778,C439754,Female,38,Clothing,2,600.16,Credit Card,27-03-2022,Metrocity
I109784,C113778,Male,37,Clothing,3,900.24,Credit Card,07-03-2023,Forum Istanbul
I109786,C163700,Female,31,Clothing,3,900.24,Cash,03-10-2021,Kanyon
I109789,C149447,Male,18,Food & Beverage,2,10.46,Credit Card,12-06-2022,Zorlu Center
I109794,C851405,Female,36,Cosmetics,5,203.3,Credit Card,12-07-2021,Kanyon
I109795,C830807,Male,60,Cosmetics,3,121.98,Cash,23-12-2021,Mall of Istanbul
I109796,C115339,Female,46,Clothing,5,1500.4,Cash,04-10-2021,Metrocity
I109798,C237691,Female,63,Technology,1,1050,Cash,08-07-2021,Kanyon
I109801,C200477,Female,39,Clothing,3,900.24,Credit Card,25-11-2021,Metropol AVM
I109805,C332919,Female,23,Clothing,5,1500.4,Credit Card,05-03-2022,Mall of Istanbul
I109808,C265220,Male,24,Cosmetics,2,81.32,Debit Card,02-08-2021,Metropol AVM
I109817,C285369,Female,36,Technology,4,4200,Debit Card,15-01-2021,Metrocity
I109820,C282452,Female,65,Cosmetics,1,40.66,Debit Card,04-03-2021,Istinye Park
I109821,C124355,Male,31,Books,2,30.3,Credit Card,20-02-2022,Zorlu Center
I109824,C183611,Female,59,Clothing,1,300.08,Cash,20-09-2021,Mall of Istanbul
I109825,C225205,Female,53,Books,3,45.45,Cash,09-03-2021,Mall of Istanbul
I109829,C213729,Female,31,Clothing,3,900.24,Cash,13-02-2023,Mall of Istanbul
I109831,C112571,Female,51,Clothing,1,300.08,Cash,11-01-2021,Metrocity
I109835,C224013,Male,29,Clothing,1,300.08,Credit Card,26-10-2021,Mall of Istanbul
I109837,C511355,Female,28,Clothing,5,1500.4,Cash,25-04-2022,Metropol AVM
I109848,C210830,Female,35,Cosmetics,3,121.98,Debit Card,22-03-2021,Kanyon
I109849,C332897,Male,50,Toys,4,143.36,Cash,16-01-2023,Cevahir AVM
I109850,C285905,Female,45,Toys,4,143.36,Credit Card,25-01-2022,Mall of Istanbul
I109853,C102125,Male,22,Clothing,3,900.24,Debit Card,28-03-2022,Kanyon
I109854,C216662,Female,62,Toys,5,179.2,Credit Card,10-05-2021,Viaport Outlet
I109861,C187845,Male,55,Cosmetics,2,81.32,Cash,12-05-2021,Metropol AVM
I109865,C526092,Female,59,Toys,5,179.2,Cash,21-05-2021,Metropol AVM
I109867,C114310,Female,33,Shoes,2,1200.34,Debit Card,12-10-2021,Viaport Outlet
I109868,C297075,Male,39,Clothing,3,900.24,Cash,06-12-2022,Metrocity
I109869,C747758,Male,52,Clothing,3,900.24,Cash,29-11-2022,Metrocity
I109870,C874372,Female,44,Cosmetics,3,121.98,Credit Card,09-06-2021,Istinye Park
I109872,C105070,Female,21,Clothing,2,600.16,Cash,20-05-2022,Metropol AVM
I109876,C255525,Female,61,Cosmetics,3,121.98,Debit Card,30-10-2022,Zorlu Center
I109877,C559792,Female,31,Food & Beverage,4,20.92,Debit Card,02-10-2021,Viaport Outlet
I109879,C241152,Female,35,Food & Beverage,4,20.92,Cash,05-05-2022,Kanyon
I109882,C336473,Female,38,Technology,3,3150,Cash,30-05-2021,Metrocity
I109886,C295764,Male,19,Cosmetics,2,81.32,Cash,14-02-2023,Istinye Park
I109888,C666098,Male,53,Toys,3,107.52,Credit Card,17-08-2021,Mall of Istanbul
I109890,C246361,Male,23,Clothing,3,900.24,Credit Card,04-11-2022,Metropol AVM
I109891,C273154,Female,22,Clothing,5,1500.4,Debit Card,06-05-2022,Istinye Park
I109892,C331830,Female,52,Clothing,5,1500.4,Debit Card,15-08-2022,Metropol AVM
I109897,C233296,Female,30,Cosmetics,5,203.3,Debit Card,22-06-2021,Mall of Istanbul
I109898,C101064,Female,66,Clothing,2,600.16,Cash,01-06-2022,Mall of Istanbul
I109901,C812062,Female,46,Shoes,4,2400.68,Debit Card,06-12-2021,Istinye Park
I109903,C890549,Male,62,Shoes,2,1200.34,Credit Card,26-05-2022,Forum Istanbul
I109905,C926822,Female,35,Cosmetics,4,162.64,Credit Card,16-10-2021,Mall of Istanbul
I109908,C128401,Male,35,Cosmetics,2,81.32,Cash,03-08-2022,Metrocity
I109912,C116683,Male,45,Food & Beverage,3,15.69,Debit Card,02-12-2021,Metropol AVM
I109913,C269524,Female,61,Technology,1,1050,Credit Card,06-09-2022,Kanyon
I109914,C108016,Female,52,Clothing,2,600.16,Credit Card,01-01-2022,Istinye Park
I109918,C458760,Female,25,Clothing,1,300.08,Credit Card,23-01-2022,Kanyon
I109919,C229000,Male,66,Shoes,4,2400.68,Credit Card,23-12-2021,Kanyon
I109922,C183478,Female,40,Shoes,5,3000.85,Credit Card,13-05-2022,Mall of Istanbul
I109926,C246427,Male,31,Clothing,2,600.16,Debit Card,17-02-2022,Istinye Park
I109929,C283424,Male,51,Toys,3,107.52,Cash,20-07-2022,Istinye Park
I109933,C334539,Male,30,Food & Beverage,3,15.69,Credit Card,13-11-2022,Metrocity
I109934,C191789,Male,27,Clothing,5,1500.4,Cash,25-03-2022,Cevahir AVM
I109935,C183430,Female,40,Books,2,30.3,Cash,05-02-2021,Mall of Istanbul
I109938,C407728,Female,67,Shoes,4,2400.68,Cash,01-04-2022,Metropol AVM
I109939,C250022,Male,59,Souvenir,5,58.65,Cash,16-08-2021,Kanyon
I109946,C204142,Female,56,Souvenir,1,11.73,Credit Card,23-01-2021,Metrocity
I109954,C333879,Male,65,Cosmetics,2,81.32,Cash,22-12-2022,Kanyon
I109958,C555109,Female,42,Clothing,2,600.16,Cash,02-02-2022,Viaport Outlet
I109959,C266902,Female,18,Clothing,2,600.16,Debit Card,18-09-2021,Kanyon
I109961,C719700,Male,21,Cosmetics,5,203.3,Debit Card,08-03-2022,Mall of Istanbul
I109962,C213685,Male,21,Toys,2,71.68,Credit Card,15-03-2022,Metrocity
I109963,C301884,Male,46,Clothing,3,900.24,Cash,15-11-2021,Mall of Istanbul
I109964,C224660,Male,40,Cosmetics,5,203.3,Credit Card,07-01-2022,Metropol AVM
I109967,C109694,Male,46,Clothing,1,300.08,Credit Card,20-06-2022,Kanyon
I109968,C130885,Female,41,Cosmetics,1,40.66,Cash,24-08-2022,Metrocity
I109971,C252455,Male,65,Shoes,2,1200.34,Cash,04-01-2021,Zorlu Center
I109972,C636364,Male,61,Clothing,5,1500.4,Cash,26-05-2021,Mall of Istanbul
I109975,C679986,Female,33,Cosmetics,3,121.98,Credit Card,22-12-2022,Mall of Istanbul
I109976,C604080,Female,66,Clothing,1,300.08,Credit Card,21-03-2021,Forum Istanbul
I109978,C229154,Male,45,Cosmetics,4,162.64,Credit Card,29-01-2023,Metrocity
I109979,C782719,Female,61,Clothing,3,900.24,Cash,01-03-2022,Metropol AVM
I109980,C495006,Male,49,Cosmetics,1,40.66,Cash,12-06-2021,Mall of Istanbul
I109984,C299695,Female,33,Toys,1,35.84,Cash,25-07-2021,Kanyon
I109985,C684867,Female,64,Technology,4,4200,Cash,28-01-2022,Emaar Square Mall
I109988,C308745,Female,31,Cosmetics,2,81.32,Credit Card,20-02-2022,Metropol AVM
I109989,C251266,Female,65,Food & Beverage,2,10.46,Credit Card,25-04-2021,Kanyon
I109991,C166137,Female,56,Clothing,4,1200.32,Credit Card,18-01-2022,Metropol AVM
I109993,C112652,Female,28,Clothing,3,900.24,Cash,24-07-2021,Mall of Istanbul
I109994,C220399,Female,66,Shoes,4,2400.68,Credit Card,10-12-2022,Forum Istanbul
I110000,C111310,Female,50,Clothing,1,300.08,Credit Card,03-05-2022,Cevahir AVM
I110006,C160076,Male,45,Clothing,1,300.08,Credit Card,24-04-2021,Metropol AVM
I110007,C315015,Male,30,Clothing,4,1200.32,Credit Card,03-10-2022,Kanyon
I110008,C765354,Male,39,Cosmetics,2,81.32,Credit Card,23-01-2023,Metrocity
I110010,C312314,Female,24,Clothing,2,600.16,Debit Card,07-03-2021,Istinye Park
I110017,C197424,Male,59,Food & Beverage,5,26.15,Debit Card,12-08-2021,Metropol AVM
I110021,C154260,Female,32,Cosmetics,1,40.66,Debit Card,27-05-2022,Kanyon
I110022,C212543,Male,28,Technology,4,4200,Credit Card,17-02-2021,Mall of Istanbul
I110027,C185092,Female,39,Clothing,2,600.16,Credit Card,17-06-2021,Metrocity
I110030,C162679,Male,22,Food & Beverage,3,15.69,Credit Card,24-09-2022,Kanyon
I110035,C146580,Male,47,Food & Beverage,1,5.23,Debit Card,07-02-2021,Metrocity
I110038,C147702,Male,69,Food & Beverage,5,26.15,Cash,17-01-2021,Istinye Park
I110043,C153834,Female,18,Toys,4,143.36,Credit Card,11-09-2021,Kanyon
I110050,C153852,Female,44,Clothing,5,1500.4,Credit Card,23-09-2021,Metropol AVM
I110057,C309921,Female,22,Food & Beverage,2,10.46,Cash,21-03-2022,Forum Istanbul
I110059,C309220,Female,37,Clothing,1,300.08,Credit Card,27-09-2021,Kanyon
I110065,C320735,Male,52,Clothing,2,600.16,Cash,07-09-2021,Metropol AVM
I110066,C233204,Male,25,Books,2,30.3,Cash,23-03-2021,Forum Istanbul
I110067,C110407,Male,62,Clothing,4,1200.32,Debit Card,24-04-2022,Metropol AVM
I110068,C836102,Female,18,Toys,3,107.52,Cash,27-11-2022,Metrocity
I110069,C302384,Male,37,Cosmetics,2,81.32,Cash,16-07-2021,Kanyon
I110070,C128081,Female,54,Food & Beverage,2,10.46,Credit Card,05-03-2022,Istinye Park
I110071,C195341,Male,66,Food & Beverage,3,15.69,Cash,01-06-2022,Zorlu Center
I110072,C125016,Female,67,Cosmetics,2,81.32,Credit Card,08-02-2022,Viaport Outlet
I110084,C313560,Female,65,Technology,2,2100,Cash,10-06-2022,Metropol AVM
I110085,C316126,Female,21,Clothing,2,600.16,Credit Card,28-11-2022,Metropol AVM
I110089,C198991,Male,36,Clothing,3,900.24,Debit Card,22-09-2022,Istinye Park
I110091,C242395,Female,39,Clothing,1,300.08,Cash,29-10-2021,Mall of Istanbul
I110097,C324181,Female,49,Cosmetics,4,162.64,Credit Card,22-08-2021,Mall of Istanbul
I110105,C222927,Female,49,Clothing,1,300.08,Credit Card,01-04-2021,Istinye Park
I110107,C337030,Male,57,Cosmetics,3,121.98,Cash,19-11-2021,Istinye Park
I110109,C287310,Female,33,Cosmetics,2,81.32,Debit Card,23-11-2021,Cevahir AVM
I110110,C261526,Male,52,Cosmetics,4,162.64,Cash,13-11-2021,Mall of Istanbul
I110114,C319829,Female,22,Food & Beverage,1,5.23,Cash,04-09-2021,Istinye Park
I110115,C221408,Female,37,Cosmetics,1,40.66,Cash,10-01-2021,Istinye Park
I110116,C339922,Male,65,Clothing,5,1500.4,Debit Card,10-01-2021,Metrocity
I110120,C167913,Female,50,Clothing,5,1500.4,Credit Card,10-12-2022,Istinye Park
I110124,C277214,Female,56,Technology,4,4200,Cash,15-04-2021,Metrocity
I110126,C173513,Female,44,Clothing,1,300.08,Credit Card,08-06-2021,Mall of Istanbul
I110128,C335373,Male,26,Books,5,75.75,Cash,28-12-2022,Mall of Istanbul
I110131,C146327,Male,25,Clothing,3,900.24,Cash,28-01-2023,Metropol AVM
I110133,C256926,Female,42,Shoes,5,3000.85,Cash,23-11-2022,Zorlu Center
I110135,C241148,Female,33,Technology,3,3150,Credit Card,01-01-2022,Emaar Square Mall
I110136,C523172,Female,22,Food & Beverage,3,15.69,Credit Card,15-02-2021,Mall of Istanbul
I110137,C608235,Female,28,Books,3,45.45,Credit Card,19-09-2022,Istinye Park
I110141,C168270,Male,29,Clothing,4,1200.32,Credit Card,29-07-2021,Kanyon
I110143,C931367,Male,28,Souvenir,4,46.92,Cash,01-12-2022,Mall of Istanbul
I110144,C425669,Male,68,Souvenir,1,11.73,Debit Card,13-12-2022,Istinye Park
I110146,C294702,Male,22,Clothing,1,300.08,Debit Card,29-07-2021,Kanyon
I110149,C144878,Male,51,Clothing,2,600.16,Cash,16-01-2021,Forum Istanbul
I110150,C172804,Male,49,Food & Beverage,4,20.92,Cash,01-01-2023,Mall of Istanbul
I110151,C713931,Female,41,Food & Beverage,3,15.69,Credit Card,05-03-2021,Viaport Outlet
I110152,C260281,Female,31,Clothing,2,600.16,Credit Card,14-05-2022,Forum Istanbul
I110154,C201639,Male,43,Clothing,2,600.16,Cash,18-01-2022,Mall of Istanbul
I110162,C243849,Male,43,Toys,1,35.84,Debit Card,26-02-2022,Istinye Park
I110163,C273459,Male,18,Clothing,2,600.16,Debit Card,17-08-2022,Metrocity
I110166,C299488,Female,22,Clothing,3,900.24,Cash,19-02-2021,Metrocity
I110168,C233489,Male,64,Clothing,4,1200.32,Cash,08-03-2023,Mall of Istanbul
I110175,C153402,Male,53,Clothing,5,1500.4,Credit Card,29-12-2021,Metrocity
I110178,C299849,Female,56,Clothing,4,1200.32,Credit Card,24-10-2022,Mall of Istanbul
I110181,C238093,Female,24,Food & Beverage,3,15.69,Credit Card,01-11-2022,Kanyon
I110183,C236466,Female,62,Shoes,4,2400.68,Credit Card,13-12-2022,Metrocity
I110184,C123228,Female,47,Shoes,3,1800.51,Credit Card,25-04-2021,Metrocity
I110185,C511490,Male,44,Clothing,5,1500.4,Credit Card,16-02-2021,Metrocity
I110192,C169132,Female,33,Clothing,1,300.08,Credit Card,29-01-2023,Kanyon
I110201,C185142,Male,46,Toys,1,35.84,Cash,11-06-2021,Zorlu Center
I110204,C434415,Male,57,Food & Beverage,5,26.15,Credit Card,06-09-2021,Mall of Istanbul
I110206,C887887,Female,42,Clothing,4,1200.32,Debit Card,27-10-2022,Viaport Outlet
I110208,C990666,Female,35,Clothing,3,900.24,Debit Card,20-07-2022,Zorlu Center
I110215,C688610,Female,44,Clothing,1,300.08,Debit Card,24-03-2021,Mall of Istanbul
I110224,C163541,Female,53,Toys,4,143.36,Debit Card,19-01-2021,Metropol AVM
I110227,C103324,Female,54,Toys,4,143.36,Debit Card,12-07-2021,Kanyon
I110229,C108231,Female,31,Clothing,1,300.08,Cash,19-08-2022,Metrocity
I110231,C192987,Male,69,Books,4,60.6,Credit Card,14-02-2022,Metrocity
I110238,C314143,Female,68,Souvenir,1,11.73,Debit Card,25-03-2021,Metrocity
I110239,C302626,Male,42,Technology,1,1050,Cash,11-02-2021,Kanyon
I110241,C158081,Female,55,Toys,5,179.2,Debit Card,18-10-2021,Istinye Park
I110242,C323018,Male,54,Toys,5,179.2,Cash,03-12-2022,Metrocity
I110251,C224808,Male,37,Clothing,4,1200.32,Credit Card,08-07-2021,Viaport Outlet
I110252,C188204,Female,61,Clothing,5,1500.4,Cash,14-01-2021,Istinye Park
I110254,C203526,Female,63,Food & Beverage,2,10.46,Credit Card,07-01-2023,Metropol AVM
I110255,C202292,Female,24,Books,5,75.75,Cash,03-07-2022,Kanyon
I110259,C208392,Male,46,Clothing,1,300.08,Credit Card,24-10-2022,Kanyon
I110260,C863534,Male,58,Toys,5,179.2,Cash,17-08-2021,Mall of Istanbul
I110263,C404411,Female,57,Clothing,2,600.16,Cash,03-01-2022,Metrocity
I110265,C855895,Male,69,Clothing,4,1200.32,Cash,28-03-2022,Kanyon
I110266,C234847,Female,32,Books,1,15.15,Cash,05-09-2022,Metropol AVM
I110267,C163097,Female,36,Cosmetics,5,203.3,Cash,19-02-2023,Mall of Istanbul
I110269,C634886,Female,28,Shoes,5,3000.85,Cash,27-03-2021,Zorlu Center
I110271,C542878,Female,47,Clothing,2,600.16,Debit Card,10-06-2022,Kanyon
I110273,C615193,Female,62,Food & Beverage,4,20.92,Cash,04-11-2021,Mall of Istanbul
I110275,C551871,Female,47,Toys,1,35.84,Credit Card,19-11-2022,Mall of Istanbul
I110278,C186340,Female,68,Clothing,4,1200.32,Cash,10-01-2021,Emaar Square Mall
I110279,C150620,Male,18,Food & Beverage,2,10.46,Cash,23-01-2023,Emaar Square Mall
I110284,C413646,Female,59,Technology,4,4200,Credit Card,12-09-2022,Mall of Istanbul
I110286,C302722,Female,31,Souvenir,3,35.19,Cash,08-06-2021,Zorlu Center
I110287,C661406,Female,27,Clothing,1,300.08,Credit Card,23-03-2021,Mall of Istanbul
I110290,C672470,Female,22,Clothing,3,900.24,Debit Card,16-09-2021,Forum Istanbul
I110291,C175275,Male,43,Cosmetics,3,121.98,Cash,18-08-2022,Cevahir AVM
I110293,C594770,Female,18,Cosmetics,4,162.64,Debit Card,02-11-2021,Metrocity
I110297,C324162,Male,35,Cosmetics,5,203.3,Cash,29-03-2021,Forum Istanbul
I110301,C854883,Male,31,Toys,5,179.2,Credit Card,30-12-2022,Istinye Park
I110303,C175650,Male,24,Toys,2,71.68,Cash,14-05-2022,Metropol AVM
I110309,C215722,Male,49,Clothing,2,600.16,Debit Card,23-01-2023,Mall of Istanbul
I110314,C160935,Female,26,Shoes,2,1200.34,Cash,12-03-2021,Metropol AVM
I110317,C241569,Male,40,Toys,1,35.84,Debit Card,08-09-2022,Istinye Park
I110324,C146397,Male,31,Clothing,4,1200.32,Credit Card,10-07-2021,Istinye Park
I110327,C338665,Male,65,Clothing,4,1200.32,Cash,06-11-2022,Metrocity
I110328,C148584,Female,27,Toys,1,35.84,Debit Card,30-12-2022,Forum Istanbul
I110335,C110544,Female,24,Shoes,5,3000.85,Cash,30-09-2022,Mall of Istanbul
I110340,C263744,Female,56,Clothing,4,1200.32,Debit Card,03-03-2023,Metropol AVM
I110341,C152464,Male,29,Toys,2,71.68,Debit Card,17-04-2022,Metropol AVM
I110342,C699729,Male,18,Clothing,2,600.16,Debit Card,22-11-2021,Metropol AVM
I110343,C132615,Female,67,Clothing,3,900.24,Debit Card,06-08-2021,Metropol AVM
I110344,C319603,Female,57,Clothing,4,1200.32,Credit Card,04-09-2021,Forum Istanbul
I110354,C288597,Female,22,Clothing,5,1500.4,Debit Card,18-08-2022,Mall of Istanbul
I110361,C219558,Male,64,Toys,5,179.2,Debit Card,29-11-2022,Cevahir AVM
I110363,C176767,Male,66,Food & Beverage,3,15.69,Credit Card,21-01-2021,Metropol AVM
I110365,C337548,Female,30,Toys,5,179.2,Credit Card,14-01-2021,Istinye Park
I110367,C337045,Male,50,Cosmetics,2,81.32,Debit Card,06-01-2023,Metropol AVM
I110368,C672728,Male,45,Clothing,5,1500.4,Credit Card,10-03-2022,Metrocity
I110372,C130811,Male,63,Toys,5,179.2,Debit Card,10-04-2022,Kanyon
I110374,C251515,Female,65,Clothing,1,300.08,Cash,02-07-2021,Kanyon
I110376,C189708,Female,69,Cosmetics,5,203.3,Credit Card,23-11-2021,Forum Istanbul
I110379,C121575,Male,51,Clothing,3,900.24,Debit Card,25-09-2021,Istinye Park
I110382,C102101,Female,39,Souvenir,3,35.19,Cash,24-09-2021,Viaport Outlet
I110383,C217358,Female,62,Technology,5,5250,Cash,22-01-2021,Mall of Istanbul
I110384,C106487,Male,69,Cosmetics,2,81.32,Cash,17-02-2022,Metrocity
I110385,C177826,Female,18,Clothing,5,1500.4,Credit Card,01-04-2021,Kanyon
I110391,C155571,Female,39,Food & Beverage,2,10.46,Credit Card,17-05-2022,Cevahir AVM
I110393,C258110,Male,40,Toys,5,179.2,Debit Card,15-05-2022,Istinye Park
I110396,C316132,Female,33,Toys,3,107.52,Credit Card,17-03-2022,Cevahir AVM
I110399,C504610,Female,68,Cosmetics,3,121.98,Credit Card,26-01-2021,Cevahir AVM
I110402,C317282,Female,31,Books,3,45.45,Credit Card,07-06-2021,Cevahir AVM
I110405,C284197,Female,68,Toys,3,107.52,Cash,19-06-2021,Emaar Square Mall
I110411,C664892,Male,35,Technology,4,4200,Cash,10-09-2022,Emaar Square Mall
I110414,C222180,Female,37,Clothing,5,1500.4,Debit Card,16-04-2021,Metrocity
I110416,C716765,Female,57,Cosmetics,5,203.3,Debit Card,16-11-2021,Kanyon
I110417,C130571,Male,19,Cosmetics,2,81.32,Credit Card,26-06-2021,Metrocity
I110427,C138546,Female,25,Cosmetics,5,203.3,Cash,23-01-2021,Metropol AVM
I110429,C331674,Female,68,Cosmetics,1,40.66,Debit Card,21-05-2022,Kanyon
